scenario,method,outcome,y,coverage,mean_length
1,S-Learner + Logistic,Y(0),3.5,0.275,1.0720368405827685e-05
1,T-Learner + BB,Y(1),-3.5,0.02,0.00220956830016803
1,T-Learner + BB,Y(1),-3.13,0.035,0.008598765921778977
1,T-Learner + BB,Y(1),-2.76,0.045,0.024839483853429555
1,T-Learner + BB,Y(1),-2.39,0.015,0.05363744167611003
1,T-Learner + BB,Y(1),-2.03,0.08,0.104323486443609
1,T-Learner + BB,Y(1),-1.66,0.355,0.19070215199142695
1,T-Learner + BB,Y(1),-1.29,0.575,0.25409716039896013
1,T-Learner + BB,Y(1),-0.92,0.955,0.31200186267495156
1,T-Learner + BB,Y(1),-0.55,1.0,0.4217010159790516
1,T-Learner + BB,Y(1),-0.18,1.0,0.6666805256903171
1,T-Learner + BB,Y(1),0.18,1.0,0.6879537281394005
1,T-Learner + BB,Y(1),0.55,1.0,0.5405362376570702
1,T-Learner + BB,Y(1),0.92,0.865,0.37337135210633277
1,T-Learner + BB,Y(1),1.29,0.0,0.18461019549518823
1,T-Learner + BB,Y(1),1.66,0.0,0.07288984945043922
1,T-Learner + BB,Y(1),2.03,0.0,0.026335583524778484
1,T-Learner + BB,Y(1),2.39,0.0,0.009678099792217836
1,T-Learner + BB,Y(1),2.76,0.0,0.0033927107747877016
1,T-Learner + BB,Y(1),3.13,0.0,0.0010956981337221804
1,T-Learner + BB,Y(1),3.5,0.0,0.0003039710019947961
1,T-Learner + BB,Y(0),-3.5,0.835,0.0014926942333113402
1,T-Learner + BB,Y(0),-3.13,0.995,0.01366599597968161
1,T-Learner + BB,Y(0),-2.76,1.0,0.07807849209755659
1,T-Learner + BB,Y(0),-2.39,1.0,0.20368953548371793
1,T-Learner + BB,Y(0),-2.03,0.95,0.2400970508158207
1,T-Learner + BB,Y(0),-1.66,0.005,0.18452496349811554
1,T-Learner + BB,Y(0),-1.29,0.035,0.14443903237581254
1,T-Learner + BB,Y(0),-0.92,1.0,0.13194891348481178
1,T-Learner + BB,Y(0),-0.55,0.01,0.13263866163790225
1,T-Learner + BB,Y(0),-0.18,0.045,0.13674562431871892
1,T-Learner + BB,Y(0),0.18,0.82,0.13423780720680953
1,T-Learner + BB,Y(0),0.55,0.99,0.11263070210814476
1,T-Learner + BB,Y(0),0.92,0.995,0.07705523107200861
1,T-Learner + BB,Y(0),1.29,0.98,0.04239626226015389
1,T-Learner + BB,Y(0),1.66,0.985,0.019056919654831292
1,T-Learner + BB,Y(0),2.03,0.965,0.0073357059224508706
1,T-Learner + BB,Y(0),2.39,0.945,0.0024253305527963676
1,T-Learner + BB,Y(0),2.76,0.935,0.000682418591241003
1,T-Learner + BB,Y(0),3.13,0.945,0.00016554900405026273
1,T-Learner + BB,Y(0),3.5,0.96,3.60945532020196e-05
2,S-Learner + BB,Y(1),-3.5,1.0,0.0251597434701398
2,S-Learner + BB,Y(1),-3.13,1.0,0.08785902675241232
2,S-Learner + BB,Y(1),-2.76,1.0,0.16483948465436696
2,S-Learner + BB,Y(1),-2.39,1.0,0.20105142675340176
2,S-Learner + BB,Y(1),-2.03,1.0,0.19300000973045825
2,S-Learner + BB,Y(1),-1.66,1.0,0.16108489587903022
2,S-Learner + BB,Y(1),-1.29,1.0,0.1241820054128766
2,S-Learner + BB,Y(1),-0.92,1.0,0.0971050762757659
2,S-Learner + BB,Y(1),-0.55,1.0,0.07912915259599686
2,S-Learner + BB,Y(1),-0.18,1.0,0.06940526563674211
2,S-Learner + BB,Y(1),0.18,1.0,0.0681863835081458
2,S-Learner + BB,Y(1),0.55,1.0,0.07453391190618276
2,S-Learner + BB,Y(1),0.92,1.0,0.08764135587960481
2,S-Learner + BB,Y(1),1.29,0.995,0.10934820100665092
2,S-Learner + BB,Y(1),1.66,0.995,0.15185766220092772
2,S-Learner + BB,Y(1),2.03,1.0,0.23571201637387276
2,S-Learner + BB,Y(1),2.39,1.0,0.3371171048283577
2,S-Learner + BB,Y(1),2.76,1.0,0.29426398158073425
2,S-Learner + BB,Y(1),3.13,0.995,0.05315630117896944
2,S-Learner + BB,Y(1),3.5,0.405,0.0010775108589223237
2,S-Learner + BB,Y(0),-3.5,0.0,0.016791821201331915
2,S-Learner + BB,Y(0),-3.13,0.0,0.041509800190106035
